from,to,weight
vigezzite,aeschynite-(y),1.0
vigezzite,menezesite,1.0
vigezzite,pauloabibite,1.0
vigezzite,aeschynite-(ce),1.0
vigezzite,euxenite-(y),2.0
vigezzite,columbite-(mn),3.0
vigezzite,columbite-(fe),1.0
vigezzite,ternovite,1.0
vigezzite,oxycalciopyrochlore,1.0
vigezzite,melcherite,1.0
vigezzite,loparite-(ce),1.0
vigezzite,fersmite,5.0
paratsepinite-ba,tsepinite-sr,1.0
paratsepinite-ba,tsepinite-ca,1.0
paratsepinite-ba,tsepinite-k,1.0
paratsepinite-ba,vuoriyarvite-k,1.0
paratsepinite-ba,loparite-(ce),1.0
zvyaginite,gerasimovskite,1.0
aeschynite-(y),aeschynite-(ce),8.0
aeschynite-(y),euxenite-(y),30.0
aeschynite-(y),columbite-(mn),3.0
aeschynite-(y),lavenite,1.0
aeschynite-(y),columbite-(fe),11.0
aeschynite-(y),nioboaeschynite-(y),2.0
aeschynite-(y),yttrotantalite-(y),3.0
aeschynite-(y),samarskite-(y),15.0
aeschynite-(y),ishikawaite,1.0
aeschynite-(y),kobeite-(y),1.0
aeschynite-(y),tanteuxenite-(y),2.0
aeschynite-(y),liandratite,1.0
aeschynite-(y),fluornatropyrochlore,1.0
aeschynite-(y),calciosamarskite,1.0
aeschynite-(y),barwoodite,1.0
aeschynite-(y),aeschynite-(nd),5.0
aeschynite-(y),loparite-(ce),1.0
aeschynite-(y),fergusonite-(y)-beta,3.0
aeschynite-(y),nioboaeschynite-(ce),2.0
aeschynite-(y),uranopolycrase,2.0
aeschynite-(y),fergusonite-(y),20.0
aeschynite-(y),fersmite,5.0
carlosbarbosaite,euxenite-(y),1.0
carlosbarbosaite,columbite-(fe),1.0
nacareniobsite-(ce),normandite,2.0
nacareniobsite-(ce),lueshite,1.0
nacareniobsite-(ce),zirsilite-(ce),1.0
nacareniobsite-(ce),bobshannonite,1.0
nacareniobsite-(ce),aeschynite-(ce),1.0
nacareniobsite-(ce),franconite,1.0
nacareniobsite-(ce),hochelagaite,1.0
nacareniobsite-(ce),columbite-(mn),1.0
nacareniobsite-(ce),lavenite,1.0
nacareniobsite-(ce),columbite-(fe),1.0
nacareniobsite-(ce),fergusonite-(ce),1.0
nacareniobsite-(ce),vuonnemite,2.0
nacareniobsite-(ce),laurentianite,1.0
nacareniobsite-(ce),charleshatchettite,1.0
nacareniobsite-(ce),tsepinite-na,1.0
nacareniobsite-(ce),samarskite-(y),1.0
nacareniobsite-(ce),hydroxynatropyrochlore,1.0
nacareniobsite-(ce),gjerdingenite-na,1.0
nacareniobsite-(ce),niobokupletskite,1.0
nacareniobsite-(ce),kentbrooksite,1.0
nacareniobsite-(ce),fluornatropyrochlore,3.0
nacareniobsite-(ce),landauite,1.0
nacareniobsite-(ce),epistolite,1.0
nacareniobsite-(ce),bobtraillite,1.0
nacareniobsite-(ce),ferrokentbrooksite,1.0
nacareniobsite-(ce),vuoriyarvite-k,1.0
nacareniobsite-(ce),nenadkevichite,1.0
nacareniobsite-(ce),loparite-(ce),1.0
nacareniobsite-(ce),wohlerite,1.0
nacareniobsite-(ce),fergusonite-(y),2.0
nacareniobsite-(ce),haineaultite,1.0
nacareniobsite-(ce),oneillite,1.0
nacareniobsite-(ce),fluorcalciopyrochlore,2.0
rankamaite,columbite-(fe),1.0
rankamaite,foordite,1.0
rankamaite,fersmite,1.0
belkovite,franconite,1.0
belkovite,hochelagaite,1.0
belkovite,fergusonite-(ce),1.0
belkovite,ternovite,1.0
belkovite,baotite,1.0
belkovite,vuoriyarvite-k,1.0
belkovite,nioboaeschynite-(ce),1.0
belkovite,fersmite,1.0
menezesite,pauloabibite,1.0
menezesite,melcherite,1.0
stefanweissite,aeschynite-(ce),1.0
stefanweissite,columbite-(mn),1.0
stefanweissite,lavenite,1.0
stefanweissite,fergusonite-(ce),1.0
stefanweissite,noggerathite-(ce),1.0
stefanweissite,hydroxycalciopyrochlore,1.0
stefanweissite,samarskite-(y),1.0
stefanweissite,oxycalciopyrochlore,1.0
stefanweissite,laachite,1.0
stefanweissite,fluornatropyrochlore,1.0
stefanweissite,ekebergite,1.0
stefanweissite,wohlerite,1.0
stefanweissite,nioboaeschynite-(ce),1.0
stefanweissite,fergusonite-(y),1.0
stefanweissite,hydroxymanganopyrochlore,1.0
stefanweissite,fersmite,1.0
stefanweissite,fluorcalciopyrochlore,1.0
organovaite-mn,gjerdingenite-ca,1.0
organovaite-mn,belyankinite,1.0
organovaite-mn,calciomurmanite,1.0
organovaite-mn,gerasimovskite,1.0
organovaite-mn,organovaite-zn,1.0
organovaite-mn,epistolite,1.0
organovaite-mn,vuoriyarvite-k,1.0
organovaite-mn,nenadkevichite,1.0
organovaite-mn,loparite-(ce),1.0
organovaite-mn,komarovite,1.0
normandite,lueshite,2.0
normandite,zirsilite-(ce),1.0
normandite,bobshannonite,1.0
normandite,aeschynite-(ce),1.0
normandite,franconite,1.0
normandite,yuksporite,1.0
normandite,hochelagaite,1.0
normandite,columbite-(mn),1.0
normandite,lavenite,3.0
normandite,columbite-(fe),1.0
normandite,fergusonite-(ce),1.0
normandite,vuonnemite,1.0
normandite,laurentianite,1.0
normandite,charleshatchettite,1.0
normandite,tsepinite-na,1.0
normandite,hydroxynatropyrochlore,1.0
normandite,gjerdingenite-na,1.0
normandite,niobokupletskite,1.0
normandite,kentbrooksite,4.0
normandite,fluornatropyrochlore,1.0
normandite,fersmanite,1.0
normandite,landauite,1.0
normandite,epistolite,1.0
normandite,bobtraillite,1.0
normandite,ferrokentbrooksite,1.0
normandite,nenadkevichite,1.0
normandite,loparite-(ce),3.0
normandite,wohlerite,1.0
normandite,haineaultite,1.0
normandite,oneillite,1.0
normandite,fluorcalciopyrochlore,1.0
nechelyustovite,gerasimovskite,1.0
nechelyustovite,isolueshite,1.0
nechelyustovite,kazanskyite,1.0
nechelyustovite,neskevaaraite-fe,1.0
nechelyustovite,saamite,1.0
nechelyustovite,komarovite,1.0
lueshite,zirsilite-(ce),1.0
lueshite,bobshannonite,1.0
lueshite,aeschynite-(ce),1.0
lueshite,franconite,2.0
lueshite,yuksporite,1.0
lueshite,shkatulkalite,1.0
lueshite,hochelagaite,2.0
lueshite,columbite-(mn),2.0
lueshite,lavenite,2.0
lueshite,columbite-(fe),2.0
lueshite,fergusonite-(ce),1.0
lueshite,vuonnemite,2.0
lueshite,laurentianite,1.0
lueshite,charleshatchettite,1.0
lueshite,tsepinite-na,1.0
lueshite,belyankinite,1.0
lueshite,hydroxynatropyrochlore,2.0
lueshite,gjerdingenite-na,1.0
lueshite,golyshevite,1.0
lueshite,niobokupletskite,1.0
lueshite,feklichevite,1.0
lueshite,karupmollerite-ca,1.0
lueshite,kentbrooksite,2.0
lueshite,natroniobite,3.0
lueshite,laachite,1.0
lueshite,fluornatropyrochlore,1.0
lueshite,baotite,1.0
lueshite,landauite,1.0
lueshite,epistolite,2.0
lueshite,bobtraillite,1.0
lueshite,ferrokentbrooksite,1.0
lueshite,nenadkevichite,2.0
lueshite,loparite-(ce),5.0
lueshite,wohlerite,1.0
lueshite,fersmite,3.0
lueshite,haineaultite,1.0
lueshite,oneillite,1.0
lueshite,hydropyrochlore,1.0
lueshite,fluorcalciopyrochlore,1.0
zirsilite-(ce),bobshannonite,1.0
zirsilite-(ce),franconite,1.0
zirsilite-(ce),hochelagaite,1.0
zirsilite-(ce),columbite-(mn),2.0
zirsilite-(ce),lavenite,2.0
zirsilite-(ce),columbite-(fe),2.0
zirsilite-(ce),fergusonite-(ce),1.0
zirsilite-(ce),vuonnemite,1.0
zirsilite-(ce),laurentianite,1.0
zirsilite-(ce),charleshatchettite,1.0
zirsilite-(ce),tsepinite-na,1.0
zirsilite-(ce),samarskite-(y),1.0
zirsilite-(ce),hydroxynatropyrochlore,1.0
zirsilite-(ce),gjerdingenite-na,1.0
zirsilite-(ce),niobokupletskite,1.0
zirsilite-(ce),carbokentbrooksite,1.0
zirsilite-(ce),kentbrooksite,3.0
zirsilite-(ce),fluornatropyrochlore,2.0
zirsilite-(ce),baotite,1.0
zirsilite-(ce),landauite,1.0
zirsilite-(ce),epistolite,1.0
zirsilite-(ce),bobtraillite,1.0
zirsilite-(ce),ferrokentbrooksite,2.0
zirsilite-(ce),nenadkevichite,1.0
zirsilite-(ce),loparite-(ce),1.0
zirsilite-(ce),wohlerite,2.0
zirsilite-(ce),byzantievite,1.0
zirsilite-(ce),fergusonite-(y),2.0
zirsilite-(ce),haineaultite,1.0
zirsilite-(ce),oneillite,1.0
