from,to,weight
zincobriartite,briartite,1.0
zincobriartite,germanocolusite,1.0
zincobriartite,renierite,1.0
zincobriartite,germanite,1.0
catamarcaite,putzite,1.0
catamarcaite,omariniite,1.0
briartite,germanocolusite,2.0
briartite,itoite,1.0
briartite,argutite,2.0
briartite,bartelkeite,1.0
briartite,galloplumbogummite,1.0
briartite,calvertite,1.0
briartite,stottite,1.0
briartite,renierite,7.0
briartite,fleischerite,1.0
briartite,carboirite,1.0
briartite,brunogeierite,3.0
briartite,maikainite,1.0
briartite,germanite,4.0
briartite,eyselite,1.0
briartite,mathewrogersite,1.0
briartite,ovamboite,1.0
briartite,otjisumeite,1.0
briartite,schaurteite,1.0
briartite,barquillite,1.0
briartite,krieselite,1.0
germanocolusite,itoite,1.0
germanocolusite,bartelkeite,1.0
germanocolusite,galloplumbogummite,1.0
germanocolusite,calvertite,1.0
germanocolusite,stottite,1.0
germanocolusite,renierite,4.0
germanocolusite,fleischerite,1.0
germanocolusite,brunogeierite,1.0
germanocolusite,maikainite,2.0
germanocolusite,germanite,3.0
germanocolusite,argyrodite,1.0
germanocolusite,eyselite,1.0
germanocolusite,mathewrogersite,1.0
germanocolusite,ovamboite,1.0
germanocolusite,otjisumeite,1.0
germanocolusite,schaurteite,1.0
germanocolusite,krieselite,1.0
itoite,bartelkeite,1.0
itoite,galloplumbogummite,1.0
itoite,calvertite,1.0
itoite,stottite,1.0
itoite,renierite,1.0
itoite,fleischerite,1.0
itoite,brunogeierite,1.0
itoite,maikainite,1.0
itoite,germanite,1.0
itoite,eyselite,1.0
itoite,mathewrogersite,1.0
itoite,ovamboite,1.0
itoite,otjisumeite,1.0
itoite,schaurteite,1.0
itoite,krieselite,1.0
argutite,carboirite,1.0
argutite,brunogeierite,10.0
bartelkeite,galloplumbogummite,1.0
bartelkeite,calvertite,1.0
bartelkeite,stottite,1.0
bartelkeite,renierite,1.0
bartelkeite,fleischerite,1.0
bartelkeite,brunogeierite,1.0
bartelkeite,maikainite,1.0
bartelkeite,germanite,1.0
bartelkeite,eyselite,1.0
bartelkeite,mathewrogersite,1.0
bartelkeite,ovamboite,1.0
bartelkeite,otjisumeite,1.0
bartelkeite,schaurteite,1.0
bartelkeite,krieselite,1.0
galloplumbogummite,calvertite,1.0
galloplumbogummite,stottite,1.0
galloplumbogummite,renierite,1.0
galloplumbogummite,fleischerite,1.0
galloplumbogummite,brunogeierite,1.0
galloplumbogummite,maikainite,1.0
galloplumbogummite,germanite,1.0
galloplumbogummite,eyselite,1.0
galloplumbogummite,mathewrogersite,1.0
galloplumbogummite,ovamboite,1.0
galloplumbogummite,otjisumeite,1.0
galloplumbogummite,schaurteite,1.0
galloplumbogummite,krieselite,1.0
putzite,omariniite,1.0
calvertite,stottite,1.0
calvertite,renierite,1.0
calvertite,fleischerite,1.0
calvertite,brunogeierite,1.0
calvertite,maikainite,1.0
calvertite,germanite,1.0
calvertite,eyselite,1.0
calvertite,mathewrogersite,1.0
calvertite,ovamboite,1.0
calvertite,otjisumeite,1.0
calvertite,schaurteite,1.0
calvertite,krieselite,1.0
palladogermanide,marathonite,1.0
stottite,renierite,1.0
stottite,fleischerite,1.0
stottite,brunogeierite,1.0
stottite,maikainite,1.0
stottite,germanite,1.0
stottite,eyselite,1.0
stottite,mathewrogersite,1.0
stottite,ovamboite,1.0
stottite,otjisumeite,1.0
stottite,schaurteite,1.0
stottite,krieselite,1.0
renierite,fleischerite,1.0
renierite,brunogeierite,1.0
renierite,maikainite,2.0
renierite,germanite,15.0
renierite,argyrodite,1.0
renierite,eyselite,1.0
renierite,mathewrogersite,1.0
renierite,ovamboite,1.0
renierite,otjisumeite,1.0
renierite,schaurteite,1.0
renierite,krieselite,1.0
fleischerite,brunogeierite,1.0
fleischerite,maikainite,1.0
fleischerite,germanite,1.0
fleischerite,eyselite,1.0
fleischerite,mathewrogersite,1.0
fleischerite,ovamboite,1.0
fleischerite,otjisumeite,1.0
fleischerite,schaurteite,1.0
fleischerite,krieselite,1.0
carboirite,brunogeierite,1.0
brunogeierite,maikainite,1.0
brunogeierite,germanite,1.0
brunogeierite,eyselite,1.0
brunogeierite,mathewrogersite,1.0
brunogeierite,ovamboite,1.0
brunogeierite,otjisumeite,1.0
brunogeierite,schaurteite,1.0
brunogeierite,krieselite,1.0
maikainite,germanite,2.0
maikainite,argyrodite,1.0
maikainite,eyselite,1.0
maikainite,mathewrogersite,1.0
maikainite,ovamboite,1.0
maikainite,otjisumeite,1.0
maikainite,schaurteite,1.0
maikainite,krieselite,1.0
germanite,argyrodite,3.0
germanite,eyselite,1.0
germanite,mathewrogersite,1.0
germanite,ovamboite,1.0
germanite,otjisumeite,1.0
germanite,schaurteite,1.0
germanite,krieselite,1.0
polkovicite,morozeviczite,1.0
eyselite,mathewrogersite,1.0
eyselite,ovamboite,1.0
eyselite,otjisumeite,1.0
eyselite,schaurteite,1.0
eyselite,krieselite,1.0
mathewrogersite,ovamboite,1.0
mathewrogersite,otjisumeite,1.0
mathewrogersite,schaurteite,1.0
mathewrogersite,krieselite,1.0
ovamboite,otjisumeite,1.0
ovamboite,schaurteite,1.0
ovamboite,krieselite,1.0
otjisumeite,schaurteite,1.0
otjisumeite,krieselite,1.0
schaurteite,krieselite,1.0
briartite,zincobriartite,1.0
germanocolusite,zincobriartite,1.0
renierite,zincobriartite,1.0
germanite,zincobriartite,1.0
putzite,catamarcaite,1.0
omariniite,catamarcaite,1.0
