from,to,weight
ferriallanite-(ce),rhabdophane-(ce),1.0
ferriallanite-(ce),davidite-(ce),1.0
ferriallanite-(ce),cordylite-(ce),1.0
ferriallanite-(ce),synchysite-(ce),9.0
ferriallanite-(ce),carbocernaite,1.0
ferriallanite-(ce),hydroxylbastnasite-(ce),3.0
ferriallanite-(ce),fluorbritholite-(ce),1.0
ferriallanite-(ce),ferriperboeite-(ce),2.0
ferriallanite-(ce),vastmanlandite-(ce),1.0
ferriallanite-(ce),aeschynite-(ce),1.0
ferriallanite-(ce),delhuyarite-(ce),1.0
ferriallanite-(ce),britholite-(ce),5.0
ferriallanite-(ce),monazite-(ce),12.0
ferriallanite-(ce),allanite-(ce),13.0
ferriallanite-(ce),rontgenite-(ce),2.0
ferriallanite-(ce),kukharenkoite-(ce),1.0
ferriallanite-(ce),euxenite-(y),3.0
ferriallanite-(ce),bastnasite-(ce),12.0
ferriallanite-(ce),daqingshanite-(ce),1.0
ferriallanite-(ce),fergusonite-(ce),2.0
ferriallanite-(ce),parisite-(ce),4.0
ferriallanite-(ce),aluminocerite-(ce),3.0
ferriallanite-(ce),biraite-(ce),1.0
ferriallanite-(ce),chevkinite-(ce),6.0
ferriallanite-(ce),ferricerite-(la),1.0
ferriallanite-(ce),ancylite-(ce),2.0
ferriallanite-(ce),nioboaeschynite-(ce),2.0
ferriallanite-(ce),ningyoite,1.0
ferriallanite-(ce),cerite-(ce),11.0
ferriallanite-(ce),fersmite,4.0
ferriallanite-(ce),hingganite-(ce),4.0
ferriallanite-(ce),tornebohmite-(ce),6.0
ferriallanite-(ce),huanghoite-(ce),1.0
ferriallanite-(ce),cerianite-(ce),1.0
ferriallanite-(ce),calcioancylite-(ce),2.0
ferriallanite-(ce),percleveite-(ce),2.0
vigezzite,rhabdophane-(ce),1.0
vigezzite,dissakisite-(ce),1.0
vigezzite,carbocernaite,1.0
vigezzite,manaevite-(ce),1.0
vigezzite,aeschynite-(ce),1.0
vigezzite,monazite-(ce),4.0
vigezzite,allanite-(ce),7.0
vigezzite,euxenite-(y),2.0
vigezzite,bastnasite-(ce),1.0
vigezzite,khanneshite,1.0
vigezzite,aluminocerite-(ce),1.0
vigezzite,burbankite,1.0
vigezzite,loparite-(ce),1.0
vigezzite,ancylite-(ce),2.0
vigezzite,fersmite,5.0
vigezzite,calcioancylite-(ce),1.0
vigezzite,brockite,1.0
perrierite-(ce),rhabdophane-(ce),4.0
