from,to,weight
penzhinite,gold,1.0
pampaloite,montbrayite,1.0
pampaloite,gold,1.0
pampaloite,calaverite,1.0
pampaloite,aurostibite,1.0
pampaloite,petzite,1.0
bezsmertnovite,kostovite,2.0
bezsmertnovite,nagyagite,1.0
bezsmertnovite,bogdanovite,3.0
bezsmertnovite,montbrayite,2.0
bezsmertnovite,gold,6.0
bezsmertnovite,calaverite,4.0
bezsmertnovite,sylvanite,6.0
bezsmertnovite,petzite,5.0
bezsmertnovite,krennerite,4.0
bezsmertnovite,bilibinskite,3.0
maldonite,jonassonite,11.0
maldonite,kostovite,2.0
maldonite,uytenbogaardtite,2.0
maldonite,honeaite,1.0
maldonite,nagyagite,2.0
maldonite,montbrayite,3.0
maldonite,gold,76.0
maldonite,calaverite,4.0
maldonite,aurostibite,12.0
maldonite,yuanjiangite,1.0
maldonite,hunchunite,1.0
maldonite,sylvanite,2.0
maldonite,petzite,5.0
maldonite,krennerite,3.0
jonassonite,gold,15.0
jonassonite,jaszczakite,1.0
jonassonite,aurostibite,3.0
fischesserite,petrovskaite,2.0
fischesserite,uytenbogaardtite,2.0
fischesserite,gold,22.0
fischesserite,calaverite,2.0
fischesserite,muthmannite,1.0
fischesserite,aurostibite,1.0
fischesserite,sylvanite,2.0
fischesserite,petzite,3.0
fischesserite,krennerite,2.0
fischesserite,bilibinskite,1.0
kostovite,uytenbogaardtite,2.0
kostovite,nagyagite,7.0
kostovite,bogdanovite,2.0
kostovite,montbrayite,6.0
kostovite,gold,19.0
kostovite,calaverite,16.0
kostovite,aurostibite,2.0
kostovite,yuanjiangite,1.0
kostovite,sylvanite,19.0
kostovite,petzite,20.0
kostovite,krennerite,13.0
kostovite,bilibinskite,1.0
petrovskaite,uytenbogaardtite,5.0
petrovskaite,gold,9.0
petrovskaite,calaverite,2.0
petrovskaite,aurostibite,1.0
petrovskaite,petzite,3.0
petrovskaite,krennerite,1.0
uytenbogaardtite,nagyagite,2.0
uytenbogaardtite,montbrayite,3.0
uytenbogaardtite,gold,40.0
uytenbogaardtite,calaverite,5.0
uytenbogaardtite,muthmannite,1.0
uytenbogaardtite,yuanjiangite,1.0
uytenbogaardtite,sylvanite,3.0
uytenbogaardtite,petzite,7.0
uytenbogaardtite,krennerite,3.0
honeaite,gold,3.0
honeaite,calaverite,2.0
honeaite,petzite,1.0
nagyagite,museumite,1.0
nagyagite,bogdanovite,1.0
nagyagite,montbrayite,5.0
nagyagite,gold,59.0
nagyagite,calaverite,28.0
nagyagite,muthmannite,2.0
nagyagite,buckhornite,3.0
nagyagite,aurostibite,1.0
nagyagite,yuanjiangite,1.0
nagyagite,sylvanite,30.0
nagyagite,petzite,37.0
nagyagite,krennerite,19.0
nagyagite,bilibinskite,2.0
museumite,gold,1.0
museumite,calaverite,1.0
museumite,muthmannite,1.0
museumite,buckhornite,1.0
museumite,sylvanite,1.0
museumite,petzite,1.0
museumite,krennerite,1.0
aurihydrargyrumite,gold,1.0
bogdanovite,montbrayite,1.0
bogdanovite,gold,7.0
bogdanovite,calaverite,3.0
bogdanovite,sylvanite,5.0
bogdanovite,petzite,3.0
bogdanovite,tetra-auricupride,1.0
bogdanovite,auricupride,1.0
bogdanovite,krennerite,4.0
bogdanovite,bilibinskite,5.0
montbrayite,gold,17.0
montbrayite,calaverite,13.0
montbrayite,muthmannite,1.0
montbrayite,aurostibite,2.0
montbrayite,yuanjiangite,1.0
montbrayite,hunchunite,2.0
montbrayite,sylvanite,9.0
montbrayite,petzite,13.0
montbrayite,krennerite,11.0
montbrayite,bilibinskite,2.0
gold,calaverite,296.0
gold,cuproauride,1.0
gold,novodneprite,4.0
gold,muthmannite,7.0
gold,buckhornite,13.0
gold,jaszczakite,1.0
gold,aurostibite,63.0
gold,yuanjiangite,3.0
gold,hunchunite,5.0
gold,sylvanite,244.0
gold,petzite,326.0
gold,criddleite,3.0
gold,tetra-auricupride,21.0
gold,weishanite,2.0
gold,auricupride,13.0
gold,krennerite,91.0
gold,bilibinskite,9.0
gold,anyuiite,7.0
calaverite,muthmannite,2.0
calaverite,buckhornite,10.0
calaverite,aurostibite,9.0
calaverite,yuanjiangite,1.0
calaverite,hunchunite,2.0
calaverite,sylvanite,129.0
calaverite,petzite,178.0
calaverite,tetra-auricupride,1.0
calaverite,weishanite,1.0
calaverite,auricupride,1.0
calaverite,krennerite,71.0
calaverite,bilibinskite,3.0
cuproauride,tetra-auricupride,1.0
cuproauride,auricupride,2.0
novodneprite,yuanjiangite,1.0
novodneprite,hunchunite,2.0
novodneprite,tetra-auricupride,1.0
novodneprite,auricupride,2.0
novodneprite,anyuiite,4.0
muthmannite,buckhornite,1.0
muthmannite,sylvanite,3.0
muthmannite,petzite,4.0
muthmannite,krennerite,4.0
muthmannite,bilibinskite,1.0
buckhornite,sylvanite,5.0
buckhornite,petzite,9.0
buckhornite,krennerite,4.0
aurostibite,sylvanite,4.0
aurostibite,petzite,7.0
aurostibite,criddleite,3.0
aurostibite,krennerite,2.0
yuanjiangite,hunchunite,1.0
yuanjiangite,sylvanite,1.0
yuanjiangite,petzite,1.0
yuanjiangite,tetra-auricupride,1.0
yuanjiangite,auricupride,1.0
yuanjiangite,krennerite,1.0
yuanjiangite,anyuiite,1.0
hunchunite,petzite,1.0
hunchunite,tetra-auricupride,1.0
hunchunite,auricupride,1.0
hunchunite,anyuiite,3.0
sylvanite,petzite,164.0
sylvanite,tetra-auricupride,1.0
sylvanite,weishanite,2.0
sylvanite,auricupride,1.0
sylvanite,krennerite,65.0
sylvanite,bilibinskite,7.0
petzite,tetra-auricupride,1.0
petzite,krennerite,75.0
petzite,bilibinskite,4.0
tetra-auricupride,auricupride,8.0
tetra-auricupride,anyuiite,2.0
auricupride,anyuiite,2.0
krennerite,bilibinskite,5.0
gold,penzhinite,1.0
montbrayite,pampaloite,1.0
gold,pampaloite,1.0
calaverite,pampaloite,1.0
aurostibite,pampaloite,1.0
petzite,pampaloite,1.0
kostovite,bezsmertnovite,2.0
nagyagite,bezsmertnovite,1.0
bogdanovite,bezsmertnovite,3.0
montbrayite,bezsmertnovite,2.0
gold,bezsmertnovite,6.0
calaverite,bezsmertnovite,4.0
sylvanite,bezsmertnovite,6.0
petzite,bezsmertnovite,5.0
krennerite,bezsmertnovite,4.0
bilibinskite,bezsmertnovite,3.0
jonassonite,maldonite,11.0
kostovite,maldonite,2.0
uytenbogaardtite,maldonite,2.0
honeaite,maldonite,1.0
nagyagite,maldonite,2.0
montbrayite,maldonite,3.0
gold,maldonite,76.0
calaverite,maldonite,4.0
aurostibite,maldonite,12.0
yuanjiangite,maldonite,1.0
hunchunite,maldonite,1.0
sylvanite,maldonite,2.0
petzite,maldonite,5.0
krennerite,maldonite,3.0
gold,jonassonite,15.0
jaszczakite,jonassonite,1.0
aurostibite,jonassonite,3.0
petrovskaite,fischesserite,2.0
uytenbogaardtite,fischesserite,2.0
gold,fischesserite,22.0
calaverite,fischesserite,2.0
muthmannite,fischesserite,1.0
aurostibite,fischesserite,1.0
sylvanite,fischesserite,2.0
petzite,fischesserite,3.0
krennerite,fischesserite,2.0
bilibinskite,fischesserite,1.0
uytenbogaardtite,kostovite,2.0
nagyagite,kostovite,7.0
bogdanovite,kostovite,2.0
montbrayite,kostovite,6.0
gold,kostovite,19.0
calaverite,kostovite,16.0
aurostibite,kostovite,2.0
yuanjiangite,kostovite,1.0
sylvanite,kostovite,19.0
petzite,kostovite,20.0
krennerite,kostovite,13.0
bilibinskite,kostovite,1.0
uytenbogaardtite,petrovskaite,5.0
gold,petrovskaite,9.0
calaverite,petrovskaite,2.0
aurostibite,petrovskaite,1.0
petzite,petrovskaite,3.0
krennerite,petrovskaite,1.0
nagyagite,uytenbogaardtite,2.0
montbrayite,uytenbogaardtite,3.0
