from,to,weight
poyarkovite,montroydite,4.0
poyarkovite,perroudite,1.0
poyarkovite,terlinguaite,4.0
poyarkovite,kuzminite,2.0
poyarkovite,kuznetsovite,4.0
poyarkovite,corderoite,4.0
poyarkovite,livingstonite,2.0
poyarkovite,mercury,5.0
poyarkovite,calomel,5.0
poyarkovite,aktashite,2.0
poyarkovite,grechishchevite,2.0
poyarkovite,shakhovite,2.0
poyarkovite,galkhaite,2.0
poyarkovite,cinnabar,5.0
poyarkovite,lavrentievite,2.0
poyarkovite,schuetteite,2.0
poyarkovite,eglestonite,5.0
poyarkovite,laffittite,1.0
poyarkovite,chursinite,2.0
poyarkovite,moschellandsbergite,1.0
poyarkovite,metacinnabar,4.0
poyarkovite,kadyrelite,2.0
poyarkovite,hypercinnabar,1.0
poyarkovite,velikite,2.0
poyarkovite,gruzdevite,1.0
poyarkovite,tvalchrelidzeite,1.0
imiterite,luanheite,3.0
imiterite,mercury,2.0
imiterite,coloradoite,1.0
imiterite,tiemannite,2.0
imiterite,eugenite,2.0
imiterite,belendorffite,1.0
imiterite,cinnabar,7.0
imiterite,moschelite,1.0
imiterite,balkanite,1.0
imiterite,chursinite,1.0
imiterite,moschellandsbergite,1.0
imiterite,metacinnabar,2.0
imiterite,kolymite,1.0
szymanskiite,montroydite,1.0
szymanskiite,mosesite,1.0
szymanskiite,terlinguaite,1.0
szymanskiite,clearcreekite,1.0
szymanskiite,edoylerite,1.0
szymanskiite,aurivilliusite,1.0
szymanskiite,deanesmithite,1.0
szymanskiite,mercury,1.0
szymanskiite,calomel,1.0
szymanskiite,edgarbaileyite,1.0
szymanskiite,cinnabar,1.0
szymanskiite,schuetteite,1.0
szymanskiite,eglestonite,1.0
szymanskiite,hanawaltite,1.0
szymanskiite,gaildunningite,1.0
szymanskiite,vasilyevite,1.0
szymanskiite,metacinnabar,1.0
szymanskiite,donharrisite,1.0
szymanskiite,gianellaite,1.0
szymanskiite,tedhadleyite,1.0
szymanskiite,wattersite,1.0
szymanskiite,peterbaylissite,1.0
montroydite,mosesite,5.0
montroydite,pinchite,1.0
montroydite,artsmithite,1.0
montroydite,gortdrumite,1.0
montroydite,radtkeite,1.0
montroydite,terlinguaite,11.0
montroydite,clearcreekite,1.0
montroydite,kuzminite,2.0
montroydite,kuznetsovite,4.0
montroydite,corderoite,7.0
montroydite,edoylerite,1.0
montroydite,aurivilliusite,1.0
montroydite,deanesmithite,1.0
montroydite,livingstonite,3.0
montroydite,mercury,21.0
montroydite,calomel,13.0
montroydite,aktashite,2.0
montroydite,tiemannite,3.0
montroydite,terlinguacreekite,1.0
montroydite,grechishchevite,2.0
montroydite,shakhovite,2.0
montroydite,kleinite,2.0
montroydite,edgarbaileyite,5.0
montroydite,galkhaite,2.0
montroydite,cinnabar,23.0
montroydite,lavrentievite,2.0
montroydite,schuetteite,5.0
montroydite,eglestonite,15.0
montroydite,hanawaltite,1.0
montroydite,kenhsuite,1.0
montroydite,laffittite,1.0
montroydite,gaildunningite,1.0
montroydite,chursinite,2.0
montroydite,vasilyevite,1.0
montroydite,metacinnabar,16.0
montroydite,kadyrelite,2.0
montroydite,donharrisite,2.0
montroydite,hypercinnabar,1.0
montroydite,gianellaite,2.0
montroydite,tedhadleyite,1.0
montroydite,velikite,2.0
montroydite,gruzdevite,1.0
montroydite,wattersite,2.0
montroydite,tvalchrelidzeite,1.0
montroydite,peterbaylissite,1.0
montroydite,comancheite,1.0
perroudite,paraschachnerite,1.0
perroudite,livingstonite,1.0
perroudite,mercury,4.0
perroudite,calomel,2.0
perroudite,coloradoite,1.0
perroudite,danielsite,1.0
perroudite,eugenite,1.0
perroudite,shakhovite,1.0
perroudite,belendorffite,1.0
perroudite,cinnabar,14.0
perroudite,iltisite,3.0
perroudite,hanauerite,2.0
perroudite,rudabanyaite,1.0
perroudite,eglestonite,3.0
perroudite,capgaronnite,8.0
perroudite,coccinite,1.0
perroudite,moschellandsbergite,5.0
perroudite,metacinnabar,2.0
mosesite,pinchite,1.0
mosesite,terlinguaite,3.0
mosesite,clearcreekite,1.0
mosesite,corderoite,1.0
mosesite,edoylerite,1.0
mosesite,aurivilliusite,1.0
mosesite,deanesmithite,1.0
mosesite,mercury,5.0
mosesite,calomel,3.0
mosesite,tiemannite,1.0
mosesite,kleinite,1.0
mosesite,edgarbaileyite,3.0
mosesite,cinnabar,5.0
mosesite,schuetteite,1.0
mosesite,eglestonite,4.0
mosesite,hanawaltite,1.0
mosesite,gaildunningite,1.0
mosesite,vasilyevite,1.0
mosesite,metacinnabar,5.0
mosesite,donharrisite,1.0
mosesite,gianellaite,2.0
mosesite,tedhadleyite,1.0
mosesite,wattersite,2.0
mosesite,peterbaylissite,1.0
mosesite,comancheite,1.0
pinchite,corderoite,1.0
pinchite,mercury,1.0
pinchite,kleinite,1.0
pinchite,edgarbaileyite,1.0
pinchite,cinnabar,1.0
pinchite,eglestonite,1.0
pinchite,metacinnabar,1.0
pinchite,gianellaite,1.0
pinchite,comancheite,1.0
artsmithite,terlinguaite,1.0
artsmithite,livingstonite,1.0
artsmithite,mercury,1.0
artsmithite,calomel,1.0
artsmithite,edgarbaileyite,1.0
artsmithite,cinnabar,1.0
artsmithite,eglestonite,1.0
artsmithite,metacinnabar,1.0
gortdrumite,paraschachnerite,1.0
gortdrumite,livingstonite,1.0
gortdrumite,mercury,2.0
gortdrumite,calomel,1.0
gortdrumite,tiemannite,2.0
gortdrumite,belendorffite,1.0
gortdrumite,kleinite,1.0
gortdrumite,cinnabar,3.0
gortdrumite,schuetteite,1.0
gortdrumite,eglestonite,1.0
gortdrumite,chursinite,1.0
gortdrumite,moschellandsbergite,1.0
gortdrumite,metacinnabar,3.0
gortdrumite,donharrisite,1.0
gortdrumite,gruzdevite,1.0
gortdrumite,schachnerite,1.0
tischendorfite,potarite,1.0
tischendorfite,tiemannite,1.0
radtkeite,terlinguaite,1.0
radtkeite,corderoite,1.0
radtkeite,mercury,1.0
radtkeite,calomel,1.0
radtkeite,terlinguacreekite,1.0
radtkeite,kleinite,1.0
radtkeite,cinnabar,1.0
radtkeite,schuetteite,1.0
radtkeite,eglestonite,1.0
radtkeite,kenhsuite,1.0
polhemusite,christite,1.0
polhemusite,aktashite,1.0
polhemusite,coloradoite,1.0
polhemusite,cinnabar,3.0
polhemusite,laffittite,1.0
polhemusite,metacinnabar,3.0
polhemusite,tvalchrelidzeite,1.0
terlinguaite,clearcreekite,1.0
terlinguaite,kuzminite,3.0
terlinguaite,kuznetsovite,4.0
terlinguaite,corderoite,5.0
terlinguaite,edoylerite,1.0
terlinguaite,aurivilliusite,1.0
terlinguaite,deanesmithite,1.0
terlinguaite,livingstonite,3.0
terlinguaite,mercury,19.0
terlinguaite,calomel,16.0
terlinguaite,aktashite,2.0
terlinguaite,tiemannite,1.0
terlinguaite,terlinguacreekite,2.0
terlinguaite,grechishchevite,2.0
terlinguaite,shakhovite,3.0
terlinguaite,kleinite,1.0
terlinguaite,edgarbaileyite,3.0
terlinguaite,galkhaite,2.0
terlinguaite,cinnabar,19.0
terlinguaite,lavrentievite,2.0
terlinguaite,moschelite,1.0
terlinguaite,schuetteite,4.0
terlinguaite,eglestonite,17.0
terlinguaite,hanawaltite,1.0
terlinguaite,kenhsuite,1.0
terlinguaite,laffittite,1.0
terlinguaite,gaildunningite,1.0
terlinguaite,chursinite,2.0
terlinguaite,coccinite,1.0
terlinguaite,vasilyevite,1.0
terlinguaite,moschellandsbergite,1.0
terlinguaite,metacinnabar,14.0
terlinguaite,kadyrelite,2.0
terlinguaite,donharrisite,1.0
terlinguaite,hypercinnabar,1.0
terlinguaite,gianellaite,1.0
terlinguaite,tedhadleyite,1.0
terlinguaite,velikite,2.0
terlinguaite,gruzdevite,1.0
terlinguaite,wattersite,3.0
terlinguaite,tvalchrelidzeite,1.0
terlinguaite,peterbaylissite,1.0
tocornalite,capgaronnite,1.0
tocornalite,moschellandsbergite,1.0
stalderite,aktashite,1.0
stalderite,coloradoite,1.0
stalderite,routhierite,1.0
stalderite,cinnabar,1.0
stalderite,debattistiite,1.0
marrucciite,mercury,1.0
marrucciite,coloradoite,1.0
marrucciite,tiemannite,1.0
marrucciite,rouxelite,1.0
marrucciite,cinnabar,2.0
marrucciite,metacinnabar,2.0
christite,corderoite,1.0
christite,aktashite,2.0
christite,coloradoite,1.0
christite,tiemannite,1.0
christite,routhierite,1.0
christite,simonite,1.0
christite,galkhaite,1.0
christite,cinnabar,4.0
christite,schuetteite,1.0
christite,laffittite,1.0
christite,metacinnabar,2.0
christite,vrbaite,1.0
christite,tvalchrelidzeite,1.0
clearcreekite,edoylerite,1.0
clearcreekite,aurivilliusite,1.0
clearcreekite,deanesmithite,1.0
clearcreekite,mercury,1.0
clearcreekite,calomel,1.0
clearcreekite,edgarbaileyite,1.0
clearcreekite,cinnabar,1.0
clearcreekite,schuetteite,1.0
clearcreekite,eglestonite,1.0
clearcreekite,hanawaltite,1.0
clearcreekite,gaildunningite,1.0
clearcreekite,vasilyevite,1.0
clearcreekite,metacinnabar,1.0
clearcreekite,donharrisite,1.0
clearcreekite,gianellaite,1.0
clearcreekite,tedhadleyite,1.0
clearcreekite,wattersite,1.0
clearcreekite,peterbaylissite,1.0
luanheite,paraschachnerite,3.0
luanheite,mercury,4.0
luanheite,calomel,2.0
luanheite,coloradoite,1.0
luanheite,tiemannite,2.0
luanheite,eugenite,6.0
luanheite,petrovicite,1.0
luanheite,cinnabar,8.0
luanheite,eglestonite,1.0
luanheite,capgaronnite,1.0
luanheite,balkanite,1.0
luanheite,hakite-(hg),2.0
luanheite,chursinite,1.0
luanheite,moschellandsbergite,1.0
luanheite,metacinnabar,3.0
luanheite,brodtkorbite,1.0
luanheite,schachnerite,3.0
arsiccioite,aktashite,1.0
arsiccioite,routhierite,1.0
arsiccioite,rouxelite,1.0
arsiccioite,laffittite,1.0
kelyanite,mercury,1.0
kelyanite,calomel,1.0
kelyanite,shakhovite,1.0
kelyanite,cinnabar,1.0
kelyanite,eglestonite,1.0
kuzminite,kuznetsovite,2.0
kuzminite,corderoite,3.0
kuzminite,mercury,4.0
kuzminite,calomel,4.0
kuzminite,tiemannite,1.0
kuzminite,grechishchevite,2.0
kuzminite,shakhovite,2.0
kuzminite,cinnabar,3.0
kuzminite,lavrentievite,2.0
kuzminite,schuetteite,3.0
kuzminite,eglestonite,3.0
kuzminite,moschellandsbergite,1.0
kuzminite,metacinnabar,4.0
kuzminite,kadyrelite,2.0
magnolite,mercury,2.0
magnolite,coloradoite,3.0
magnolite,weishanite,1.0
magnolite,cinnabar,1.0
kuznetsovite,corderoite,4.0
kuznetsovite,livingstonite,2.0
kuznetsovite,mercury,4.0
kuznetsovite,calomel,4.0
kuznetsovite,aktashite,2.0
kuznetsovite,grechishchevite,2.0
kuznetsovite,shakhovite,2.0
kuznetsovite,galkhaite,2.0
kuznetsovite,cinnabar,4.0
kuznetsovite,lavrentievite,2.0
kuznetsovite,schuetteite,2.0
kuznetsovite,eglestonite,4.0
kuznetsovite,laffittite,1.0
kuznetsovite,chursinite,2.0
kuznetsovite,metacinnabar,4.0
kuznetsovite,kadyrelite,2.0
kuznetsovite,hypercinnabar,1.0
kuznetsovite,velikite,2.0
kuznetsovite,gruzdevite,1.0
kuznetsovite,tvalchrelidzeite,1.0
corderoite,livingstonite,2.0
